Código,Horário,Data,Responsável,Nome,Descrição,Público Alvo,Vagas,Local
MC08,08:00 - 10:00,25/10,Mirella Patrícia C.Lima,TOEFL test preparation,Apresenta ferramentas de preparação para o TOEFL.,Geral,20,Sala 2
OF06,08:00 - 10:00,25/10,"Cristiano R.Pinheiro
Discentes 4TB",Produção de horta agroecológica urbana,Conhece os princípios da Agroecologia e produz horta urbana em caixotes de feira.,Geral,20,Sala 3
MC13,08:00 - 10:00,26/10,Aline M.Cruz,Normalização de Trabalhos Acadêmicos: Padrões da ABNT,Disponibiliza informação atualizada e confiável sobre o uso das normas da ABNT.,Geral,30,Sala 2
MC14,08:00 - 10:00,26/10,"Rosemary M.Lima
Cristiane Tesmann",Español para Niños,Desperta o interesse pelo aprendizado de um segundo idioma; Fomenta o aprendizado cooperativo; Interage com a língua espanhola de forma lúdica.,Crianças de 6 a 10 anos,10,Sala 3
OF14,08:00 - 10:00,26/10,"Angelo Marcos G.dos Santos
Carla Sandra C.Fernandes",Tie Dye,Produz camisas Tie Dye para demonstrar o uso de figuras geométricas no cotidiano.,Estudantes,10,Sala 4
PA07,08:00 - 10:00,26/10,"Milena Requião
Helder Tanaka",Popularização da Ciência: Aplicação em Equipamentos,Alunos do ensino fundamental e médio,Geral,30,Sala 46
MC16,08:00 - 10:00,27/10,Eladyr B.Raykil,Etiqueta Profissional,Apresenta noções de comportamento esperado/adequado em ambientes organizacionais.,Geral,15,Lab.CH 8
MC17,08:00 - 10:00,27/10,Aline M.Cruz,A internet como ferramenta de pesquisa técnico-científica,Orienta os estudantes na busca e na recuperação da informação técnico-científica na Internet.,Geral,30,Lab.Inf. 2
MC18,08:00 - 10:00,27/10,"Rosemary M.Lima
Cristiane Tesmann",Español para Niños,Desperta o interesse pelo aprendizado de um segundo idioma; Fomenta o aprendizado cooperativo; Interage com a língua espanhola de forma lúdica.,Crianças de 6 a 10 anos,10,Sala 2
OF18,08:00 - 10:00,27/10,"Eladyr B.Raykil
Angela Ferreira",Oficina de Turbantes,"Ensina a fazer os turbantes no intuito de sensibilizar os participantes sobre o empoderamento do povo negro, amor próprio, autoestima e representação social.",Geral,20,Lab.CH 8
OF19,08:00 - 10:00,27/10,"Davi A.Costa
Evelyn O. de Almeida
Carla Sandra C.Fernandez",Artmetria,Promove o incentivo a percepção da relação entre a arte e a matemática.,Geral,20,Lab.DT.Sala 11
MC15,08:00 - 10:00,26/10,Eladyr B.Raykil,#partiuempreender,"Estimula o protagonismo, autonomia e emancipação dos/as jovens; Sensibiliza/mobiliza jovens para as possibilidades de desenvolvimento de produtos e serviços na perspectiva da Economia Solidaria.",Estudantes,15,Lab.CH 8
JM01,08:00 - 12:00,"24, 25, 26, 27/10","3TI
Helder Tanaka",Jogos lógicos,,Geral,,Sala 6
